OBJECTID,x_coord,y_coord,presence
1,-108.10903035000,38.92451891500,1
2,-108.11124077200,38.92124595500,1
3,-108.11013556100,38.91947072700,1
4,-108.09979649300,38.92049703600,1
5,-108.09690868400,38.91908239000,1
6,-108.10314777700,38.92424155100,1
7,-108.10646340900,38.92546194300,1
8,-108.10703384000,38.92008096600,1
9,-108.10450255100,38.91605883600,1
10,-108.11152598700,38.91475506200,1
11,-108.11280945800,38.91325707900,1
12,-108.11534074700,38.91253581700,1
13,-108.11159729100,38.91175906500,1
14,-108.11851377100,38.90432400800,1
15,-108.11024251700,38.90715386000,1
16,-108.11819290400,38.90812486200,1
17,-108.12029636900,38.90898488100,1
18,-108.12204331500,38.90551699900,1
19,-108.11712334500,38.90302001800,1
20,-108.12122332000,38.90218767200,1
21,-108.12418243300,38.90110560700,1
22,-108.12671372200,38.90254835700,1
23,-108.12635720200,38.90149404300,1
24,-108.12835371200,38.89988479700,1
25,-108.12628589800,38.89824776700,1
26,-108.12649981000,38.89730437800,1
27,-108.12657111400,38.89550080300,1
28,-108.13141978000,38.89455737700,1
29,-108.13289339500,38.89443713500,1
30,-108.13348759400,38.89336420200,1
31,-108.13353513000,38.89255024200,1
32,-108.13431947300,38.89190276700,1
33,-108.13534149600,38.89125528600,1
34,-108.13498497600,38.89216175700,1
35,-108.13550787200,38.89321621000,1
36,-108.13603076700,38.89390067100,1
37,-108.13826495700,38.89419665200,1
38,-108.13931074700,38.89347519600,1
39,-108.13952465900,38.89175477100,1
40,-108.13850263600,38.89044130100,1
41,-108.13636351900,38.89121828700,1
42,-108.12973225400,38.89216175700,1
43,-108.13077804500,38.89066329800,1
44,-108.14636983500,38.89240224800,1
45,-108.14829504100,38.89184726800,1
46,-108.15321501100,38.88883180500,1
47,-108.15495007300,38.88973830700,1
48,-108.15687527900,38.88859130200,1
49,-108.16570270400,38.88493556200,1
50,-108.16755660600,38.88482455500,1
51,-108.18861027600,38.90311250100,1
52,-108.18990087700,38.90295158100,1
53,-108.18948018400,38.90355641400,1
54,-108.19077791600,38.90464953900,1
55,-108.18896679600,38.90278511300,1
56,-108.19033583100,38.90376727200,1
57,-108.18994366000,38.90333445800,1
58,-108.19052835200,38.90287389600,1
59,-108.19151234600,38.90484929600,1
60,-108.18943027200,38.90220246900,1
61,-108.19574779900,38.90688937600,1
62,-108.19555765500,38.90630676600,1
63,-108.19332346500,38.90614030500,1
64,-108.19555765500,38.90547445800,1
65,-108.19612808600,38.91298337000,1
66,-108.19559330700,38.91329776600,1
67,-108.19516548300,38.91300186400,1
