,newID,ID,X,Y,YEAR,PresenceAb,Percent_Cov,X0716_blue,X0716_green,X0716_nir,X0716_red,,,,,,,,,
1,320,203,-110.2990036,39.01570129,2016,0,0,2476.74114,2742.212185,3984.534875,3244.433939,,,,,,,,,
2,442,422,-110.3649979,38.87530136,2016,0,0,2427.162689,2699.492737,4156.956351,3257.377935,,,,,,,,,
3,78,GR217,-110.181807,38.905561,2017,0,0,2397.685686,2663.992692,3665.612603,3019.891298,,,,,,,,,
4,448,432,-110.223999,38.97869873,2016,0,0,2323.297031,2556.017142,3880.349396,3038.941359,,,,,,,,,
5,366,276,-110.2310028,39.02970123,2016,0,0,2428.915564,2834.655037,4057.421178,3423.182936,,,,,,,,,
6,330,219,-109.8529968,38.82740021,2016,0,0,2323.051826,2791.311584,4186.564065,3379.413505,,,,,,,,,
7,469,468,-109.4560013,38.90869904,2016,0,0,2207.003004,2606.198576,3722.712831,3032.625183,,,,,,,,,
8,201,5,-109.9520035,38.92200089,2016,0,0,2317.561956,2825.780559,4076.769842,3382.140406,,,,,,,,,
9,461,449,-110.0979996,39.07450104,2016,0,0,2184.098797,2428.141781,3501.254996,2830.347267,,,,,,,,,
10,432,401,-109.3889999,39.03440094,2016,0,0,2168.04063,2408.790347,3606.569624,2864.966545,,,,,,,,,
11,344,238,-109.9339981,38.90140152,2016,0,0,1946.079849,2288.049156,3369.946149,2754.3591,,,,,,,,,
12,200,3,-109.586998,38.92630005,2016,0,0,2093.098862,2476.394888,3817.773952,2995.687443,,,,,,,,,
13,219,37,-109.4100037,39.08390045,2016,0,0,1981.095214,2236.53055,3343.624002,2608.597667,,,,,,,,,
14,270,116,-110.0279999,38.86619949,2016,0,0,2069.416488,2256.241358,3438.676629,2762.831105,,,,,,,,,
15,382,304,-110.2099991,38.89179993,2016,0,0,2090.704989,2291.625867,3351.393222,2668.812955,,,,,,,,,
16,318,201,-109.5410004,38.9742012,2016,0,0,2021.919721,2333.525563,3552.487509,2751.960482,,,,,,,,,
17,431,400,-110.3450012,38.93610001,2016,0,0,1853.200595,1891.610657,2488.223687,2077.624973,,,,,,,,,
18,215,29,-110.0680008,38.91749954,2016,0,0,2110.415368,2521.616734,3718.291512,3055.651871,,,,,,,,,
19,258,99,-110.4349976,38.71319962,2016,0,0,1908.423061,2393.015394,4487.214559,3316.853542,,,,,,,,,
20,390,317,-110.4649963,38.64889908,2016,0,0,2033.635747,2540.59428,4103.874446,3317.88163,,,,,,,,,
22,332,222,-109.3690033,38.88669968,2016,0,0,1779.966201,1984.830387,3243.443368,2389.476691,,,,,,,,,
23,305,183,-108.3420029,39.11380005,2016,0,0,1861.064012,1857.09079,2357.758589,2031.009631,,,,,,,,,
24,387,312,-110.2850037,39.12659836,2016,0,0,1972.787304,2290.589504,3286.494438,2701.233658,,,,,,,,,
25,157,GR520,-110.36555,38.842818,2017,0,0,1865.488431,2009.954105,3330.593459,2434.520955,,,,,,,,,
26,369,283,-110.1299973,39.02460098,2016,0,0,1821.127572,2080.319669,3218.686222,2493.352884,,,,,,,,,
27,235,66,-110.0830002,38.98820114,2016,0,0,1940.195026,2257.875824,3416.094948,2722.453246,,,,,,,,,
28,304,182,-108.9749985,39.27809906,2016,0,0,1796.796664,1982.909524,3204.535537,2317.191129,,,,,,,,,
29,429,397,-109.4810028,39.03210068,2016,0,0,1779.29676,2028.023516,3075.891022,2388.696725,,,,,,,,,
30,485,495,-108.4309998,39.0021019,2016,0,0,1763.146443,2087.030898,3232.022461,2419.847532,,,,,,,,,
31,473,474,-109.3960037,38.93040085,2016,0,0,1831.562868,2009.606186,3088.904426,2439.856478,,,,,,,,,
32,279,137,-109.7490005,38.93569946,2016,0,0,1864.754601,2159.914308,3283.742973,2587.753763,,,,,,,,,
33,221,39,-110.3290024,38.76210022,2016,0,0,1915.530886,2402.732917,4165.319293,3193.124836,,,,,,,,,
34,197,0,-110.3860016,38.81230164,2016,0,0,1876.757688,2378.322668,4416.213934,3347.20054,,,,,,,,,
35,399,341,-110.2460022,38.80739975,2016,0,0,1863.072751,2111.406688,3604.195428,2744.005719,,,,,,,,,
36,361,269,-110.2850037,38.75510025,2016,0,0,1886.403321,2288.00109,4427.429647,3242.249587,,,,,,,,,
37,340,233,-109.5459976,38.92499924,2016,0,0,1774.684822,1984.748518,3179.434987,2395.653976,,,,,,,,,
