system:index,TCB,blue,green,ndvi,ndwi,nir,presence,red,swir1,swir2,.geo
40_0,3027.8497,240,416,0.8294693,-0.79026973,3551,1.0,331,1415,618,
41_0,3254.7491,230,369,0.8819004,-0.83701414,4159,1.0,261,1295,512,
32_0,2946.9327000000003,239,422,0.81788707,-0.77707344,3364,1.0,337,1464,642,
34_0,3144.8071000000004,237,422,0.83962727,-0.79774743,3751,1.0,327,1431,607,
42_0,3040.7713,239,425,0.8299616,-0.7873937,3573,1.0,332,1408,611,
35_0,3030.7426,222,410,0.8338021,-0.7947948,3586,1.0,325,1408,594,
33_0,3026.3453,241,438,0.8207645,-0.77895534,3525,1.0,347,1399,619,
36_0,2860.7215000000006,229,415,0.82570565,-0.77843034,3331,1.0,318,1349,573,
37_0,2641.5298000000007,230,402,0.8083974,-0.76763004,3058,1.0,324,1175,546,
31_0,3060.1532,243,424,0.8240741,-0.786398,3546,1.0,342,1483,635,
30_0,2949.0383,235,433,0.81744534,-0.77198523,3365,1.0,338,1447,653,
29_0,3164.1209,266,426,0.8359025,-0.79310346,3692,1.0,330,1523,673,
43_0,2705.7672000000002,236,425,0.78303033,-0.7475498,2942,1.0,358,1421,652,
28_0,2794.3300000000004,241,446,0.8047647,-0.7488739,3106,1.0,336,1413,649,
44_0,2787.0129,251,446,0.7843427,-0.7426428,3020,1.0,365,1464,684,
45_0,2915.9254,282,481,0.7863368,-0.7370148,3177,1.0,380,1466,723,
46_0,2772.4041,278,456,0.7844418,-0.73649234,3005,1.0,363,1410,694,
47_0,3406.2189000000003,286,521,0.7918959,-0.7460395,3582,1.0,416,2008,945,
49_0,2985.7330000000006,267,472,0.80947256,-0.753782,3362,1.0,354,1460,665,
48_0,3305.4961000000003,293,519,0.79226804,-0.7402402,3477,1.0,403,1935,897,
50_0,3123.5669000000003,266,483,0.7915633,-0.74115753,3249,1.0,378,1891,884,
261_0,3555.4846000000002,611,849,0.37361202,-0.42479676,2103,0.0,959,2746,2096,
51_0,3398.8842,280,541,0.7851282,-0.7309796,3481,1.0,419,2092,1013,
52_0,2817.5579000000002,345,529,0.6677632,-0.65469974,2535,1.0,505,1735,1089,
61_0,2853.1938,278,485,0.73379487,-0.7006173,2755,1.0,423,1816,921,
53_0,3160.5335999999998,255,498,0.79261285,-0.73608905,3276,1.0,379,1912,929,
56_0,3122.9854,260,493,0.78224456,-0.7324288,3192,1.0,390,1922,940,
54_0,3172.3296000000005,311,534,0.73706293,-0.70651275,3105,1.0,470,1950,1022,
58_0,3069.4208000000003,249,487,0.7977404,-0.74019736,3262,1.0,367,1764,823,
419_0,3113.7462,423,679,0.46883288,-0.53075325,2215,0.0,801,2259,1412,
255_0,3217.1731000000004,405,666,0.47749448,-0.5579157,2347,0.0,830,2270,1487,
257_0,3346.4880000000003,385,660,0.5519253,-0.60240966,2660,0.0,768,2322,1375,
129_0,2445.0314000000003,174,352,0.82857144,-0.78,2848,1.0,267,1158,516,
123_0,2661.6409000000003,194,406,0.8216409,-0.76599425,3064,1.0,300,1275,565,
130_0,2462.1157000000003,157,356,0.81988746,-0.7819963,2910,1.0,288,1091,484,
122_0,2331.4413,150,323,0.8366417,-0.7945946,2822,1.0,251,983,437,
121_0,2667.7598000000003,185,395,0.8280733,-0.77008146,3041,1.0,286,1318,652,
120_0,2623.2601,156,331,0.850367,-0.81651884,3277,1.0,265,1035,446,
119_0,2657.2949000000003,173,355,0.8369871,-0.8040298,3268,1.0,290,1057,468,
118_0,2362.8453000000004,155,341,0.8365908,-0.78734016,2866,1.0,255,975,428,
117_0,2806.0062000000003,248,449,0.7677925,-0.7343195,2931,1.0,385,1519,863,
116_0,2088.726,146,309,0.83847284,-0.78030574,2504,1.0,220,882,416,
110_0,2326.4717000000005,221,396,0.77521616,-0.72307694,2464,1.0,312,1246,610,
111_0,2254.5124000000005,173,343,0.8099321,-0.76147425,2533,1.0,266,1137,522,
107_0,2524.3976,201,358,0.8165548,-0.77625,2842,1.0,287,1323,569,
106_0,2635.2884000000004,222,383,0.7901003,-0.76358026,2857,1.0,335,1433,685,
104_0,2466.8202,200,399,0.7838384,-0.738189,2649,1.0,321,1341,621,
105_0,2566.876,227,406,0.7824951,-0.74098885,2729,1.0,333,1427,674,
97_0,2833.0459,224,415,0.81695676,-0.772665,3236,1.0,326,1402,603,
86_0,2241.8632,279,443,0.6430691,-0.6278874,1938,1.0,421,1437,897,
103_0,2364.1822,218,392,0.7393539,-0.7160449,2369,1.0,355,1432,665,
92_0,2265.4473000000003,211,359,0.7567568,-0.7339755,2340,1.0,324,1319,602,
102_0,2530.9004000000004,233,409,0.7679112,-0.73065525,2628,1.0,345,1472,669,
100_0,2819.4725000000003,217,410,0.8146067,-0.77472526,3230,1.0,330,1373,604,
101_0,2701.0377000000003,215,398,0.8155048,-0.76718336,3021,1.0,307,1388,669,
91_0,2168.9441,177,356,0.7952522,-0.74351585,2420,1.0,276,1042,510,
99_0,2289.5178,177,352,0.81088626,-0.761113,2595,1.0,271,1122,508,
95_0,2431.9192000000003,214,388,0.79690653,-0.74640524,2672,1.0,302,1246,594,
98_0,2553.9464000000003,222,417,0.77028316,-0.7392935,2782,1.0,361,1304,570,
93_0,2536.2028,222,404,0.776565,-0.7451908,2767,1.0,348,1304,585,
88_0,2590.5200999999997,224,405,0.79222435,-0.74821264,2812,1.0,326,1399,629,
87_0,2259.1304999999998,201,365,0.7793957,-0.74012107,2444,1.0,303,1192,536,
89_0,2511.729,199,384,0.7964459,-0.75726926,2780,1.0,315,1318,563,
112_0,2615.1911,250,451,0.74975175,-0.708468,2643,1.0,378,1510,776,
114_0,2754.0033999999996,242,440,0.7809524,-0.74358976,2992,1.0,368,1439,656,
113_0,2725.5193999999997,242,434,0.79785967,-0.74898785,3024,1.0,340,1376,616,
96_0,2369.9600000000005,177,338,0.8233906,-0.7778508,2705,1.0,262,1206,516,
90_0,2508.9057000000003,174,365,0.82578397,-0.77517706,2882,1.0,275,1256,533,
94_0,2653.8349,192,389,0.823372,-0.7748191,3066,1.0,297,1280,559,
85_0,2549.1791000000003,207,403,0.8203295,-0.7580306,2928,1.0,289,1216,516,
84_0,2216.495,153,354,0.8442822,-0.7645494,2653,1.0,224,953,406,
78_0,2199.1021000000005,182,325,0.8224982,-0.76950353,2495,1.0,243,1100,506,
79_0,2366.6192,181,340,0.842962,-0.789278,2887,1.0,246,962,410,
80_0,2656.3742,180,343,0.86617935,-0.81267065,3319,1.0,238,1088,435,
76_0,2051.3722000000002,152,314,0.82474613,-0.7708029,2426,1.0,233,884,400,
77_0,2078.4723000000004,140,290,0.8493544,-0.7977685,2578,1.0,210,808,351,
75_0,2432.5621000000006,147,324,0.86002445,-0.8075438,3043,1.0,229,974,391,
421_0,3109.3523,421,670,0.48751643,-0.5432856,2264,0.0,780,2223,1388,
420_0,3084.8574,414,662,0.50114566,-0.55194587,2293,0.0,762,2173,1341,
73_0,2889.8597000000004,290,504,0.7302672,-0.69343066,2784,1.0,434,1798,961,
72_0,2906.1961,237,469,0.7783019,-0.73084646,3016,1.0,376,1694,844,
74_0,2853.8818,233,430,0.81741333,-0.7647059,3225,1.0,324,1429,654,
71_0,2619.7954000000004,254,442,0.7588841,-0.7139159,2648,1.0,363,1519,820,
63_0,3064.5486,245,463,0.80692375,-0.74789,3210,1.0,343,1890,865,
62_0,2717.1461,227,417,0.8010668,-0.7462732,2870,1.0,317,1608,748,
70_0,2561.9038,199,356,0.83745164,-0.7931435,3086,1.0,273,1103,461,
67_0,2956.3374000000003,265,522,0.7478544,-0.69956833,2953,1.0,426,1765,882,
66_0,2510.7106,236,462,0.7376255,-0.68909824,2510,1.0,379,1454,720,
68_0,2887.2547999999997,233,461,0.8133783,-0.74993217,3226,1.0,332,1469,667,
69_0,2506.1854000000003,229,416,0.78457355,-0.72649574,2626,1.0,317,1432,679,
82_0,2494.044,180,328,0.83821654,-0.79589295,2886,1.0,254,1271,550,
81_0,2842.9503000000004,185,347,0.8733385,-0.82390255,3594,1.0,243,1144,460,
83_0,2792.2755000000006,255,456,0.7803851,-0.7329429,2959,1.0,365,1535,741,
65_0,2996.6028,279,500,0.747154,-0.70725995,2916,1.0,422,1922,973,
64_0,2918.5674,240,423,0.81107306,-0.7647386,3173,1.0,331,1651,753,
60_0,2775.6168000000002,241,442,0.78222084,-0.73525006,2897,1.0,354,1620,772,
55_0,2765.8936000000003,225,416,0.80755395,-0.7575051,3015,1.0,321,1530,698,
57_0,2746.0116000000003,235,434,0.7957317,-0.74311924,2945,1.0,335,1525,718,
59_0,2934.7709,291,495,0.7372395,-0.7063186,2876,1.0,435,1811,922,
258_0,5126.622600000001,1068,1720,0.12972857,-0.21155168,2643,0.0,2036,3051,2597,
260_0,5854.244200000001,1445,1990,0.121548,-0.2,2985,0.0,2338,3437,2834,
259_0,6323.0726,1471,2175,0.11557789,-0.19354838,3219,0.0,2552,3726,3024,
426_0,5295.5281,1118,1658,0.18565485,-0.28688172,2992,0.0,2055,3055,2477,
425_0,4368.424300000001,829,1187,0.25859937,-0.36353886,2543,0.0,1498,2843,2301,
424_0,4525.9426,886,1260,0.2164053,-0.33350965,2521,0.0,1624,2939,2425,
422_0,4702.3992,929,1354,0.2147944,-0.32266134,2644,0.0,1709,2961,2443,
423_0,4850.7985,977,1396,0.20258813,-0.31752628,2695,0.0,1787,3036,2553,
415_0,5003.6928,968,1424,0.20964175,-0.31522,2735,0.0,1787,3307,2707,
406_0,4931.4689,1060,1601,0.15559518,-0.23634629,2592,0.0,1894,3035,2461,
405_0,4898.7708,1106,1620,0.10493685,-0.195231,2406,0.0,1949,3020,2596,
409_0,4673.5586,1000,1556,0.11596244,-0.20874651,2377,0.0,1883,2816,2335,
408_0,4887.4371,964,1594,0.15188763,-0.24419156,2624,0.0,1932,2964,2293,
407_0,4599.4902,1044,1650,0.08743961,-0.15406306,2251,0.0,1889,2730,2221,
416_0,4463.392,873,1242,0.21603227,-0.32019705,2412,0.0,1555,3039,2499,
411_0,4950.143100000001,842,1326,0.2780136,-0.3885174,3011,0.0,1701,3168,2470,
410_0,4322.4433,1082,1625,0.06964944,-0.17596349,2319,0.0,2017,1992,1554,
418_0,7570.5476,1563,2438,0.121506326,-0.21984,3812,0.0,2986,4764,3957,
417_0,3396.6559,623,879,0.35114503,-0.4145854,2124,0.0,1020,2294,1756,
404_0,647.2473,245,311,0.26610646,-0.18479685,452,0.0,262,133,96,
414_0,5058.2390000000005,973,1421,0.19772528,-0.31666267,2738,0.0,1834,3348,2769,
413_0,3493.3445,319,711,0.76875,-0.676082,3679,0.0,481,1790,849,
412_0,3648.5433000000003,482,727,0.6764932,-0.6362272,3270,0.0,631,2374,1217,
