system:index,TCB,blue,green,ndvi,ndwi,nir,presence,red,swir1,swir2,.geo
297_0,3194.3555,714,953,0.18855098,-0.2708493,1661,0.0,1134,2092,1818,
298_0,4414.556100000001,1031,1422,0.13834587,-0.2298944,2271,0.0,1719,2618,2351,
300_0,5197.9184000000005,1029,1579,0.14585859,-0.2847112,2836,0.0,2114,3103,2457,
301_0,3550.81,671,1022,0.29909012,-0.36816075,2213,0.0,1194,2152,1678,
299_0,4823.7893,941,1408,0.23626013,-0.3344363,2823,0.0,1744,2851,2481,
208_0,2813.2852000000003,160,394,0.857935,-0.7985685,3518,1.0,269,1098,458,
207_0,2614.5038,180,403,0.82119596,-0.76832426,3076,1.0,302,1136,532,
209_0,3207.7655000000004,196,453,0.83690363,-0.7856129,3773,1.0,335,1492,704,
206_0,2736.0043,169,397,0.8422222,-0.7861568,3316,1.0,284,1153,502,
205_0,2548.6871,163,365,0.83419377,-0.7843427,3020,1.0,273,1153,516,
203_0,2197.0914000000002,145,349,0.790106,-0.7578071,2533,1.0,297,978,428,
204_0,1897.9158,131,296,0.8239351,-0.7672956,2248,1.0,217,822,351,
315_0,3439.8437000000004,446,711,0.5002957,-0.56219214,2537,0.0,845,2499,1516,
319_0,3424.0559000000003,457,729,0.46779048,-0.53962743,2438,0.0,884,2489,1572,
311_0,3314.6250999999997,474,740,0.39163497,-0.49591282,2196,0.0,960,2368,1647,
312_0,3355.496,477,737,0.41945672,-0.50603217,2247,0.0,919,2473,1656,
317_0,1786.4613,278,510,0.45809174,-0.46117273,1383,0.0,514,974,588,
316_0,2020.9759000000001,343,608,0.3877017,-0.44702137,1591,0.0,702,913,485,
323_0,3273.4012000000002,417,682,0.4805599,-0.5545395,2380,0.0,835,2372,1459,
321_0,3303.9601000000002,387,683,0.5517847,-0.5904048,2652,0.0,766,2226,1302,
322_0,3221.935700000001,342,618,0.6083794,-0.6345358,2764,0.0,673,2139,1165,
324_0,3425.8177000000005,485,762,0.46190476,-0.5264139,2456,0.0,904,2333,1614,
325_0,3466.9343000000003,456,777,0.45771733,-0.52066624,2465,0.0,917,2458,1568,
320_0,2364.0525000000007,289,545,0.53505534,-0.54902774,1872,0.0,567,1532,920,
332_0,3210.4988,417,688,0.45495936,-0.52957267,2237,0.0,838,2328,1584,
334_0,3074.4735,396,685,0.40833884,-0.51297545,2128,0.0,894,2089,1479,
327_0,2418.8346,182,481,0.6825843,-0.6656239,2396,0.0,452,1299,654,
333_0,3230.131700000001,371,646,0.5388349,-0.59396607,2536,0.0,760,2254,1328,
328_0,983.3597,102,285,0.60487807,-0.5518868,987,0.0,243,327,178,
326_0,2172.7733000000003,225,479,0.64404106,-0.62607336,2083,0.0,451,1127,567,
200_0,3026.1574000000005,198,432,0.83123976,-0.77173054,3353,1.0,309,1719,753,
201_0,3219.9225000000006,256,497,0.79242265,-0.7422199,3359,1.0,389,1951,904,
199_0,3295.0674,225,459,0.8265048,-0.7744472,3611,1.0,343,1888,894,
330_0,3757.0377000000003,300,692,0.7140187,-0.6825688,3668,0.0,612,2223,1171,
335_0,2956.3565000000003,274,615,0.68109757,-0.6352313,2757,0.0,523,1799,916,
337_0,2556.8764,321,586,0.4158103,-0.5069415,1791,0.0,739,1743,1158,
331_0,2350.9641,238,428,0.6135898,-0.64318466,1971,0.0,472,1621,980,
342_0,3006.0360000000005,441,653,0.5378666,-0.5702534,2386,0.0,717,1949,1171,
340_0,2984.0305000000003,425,707,0.47972754,-0.52677375,2281,0.0,802,1820,1225,
338_0,6110.161500000001,1109,1613,0.2451348,-0.36745098,3487,0.0,2114,4107,3301,
339_0,6962.4428,1559,2305,0.13315926,-0.20200796,3472,0.0,2656,4316,3807,
341_0,2987.365100000001,469,765,0.37422037,-0.44323143,1983,0.0,903,1964,1401,
115_0,2424.1172,235,405,0.7558309,-0.7121535,2409,1.0,335,1502,740,
109_0,2413.3202000000006,199,393,0.7827127,-0.73817456,2609,1.0,318,1283,586,
108_0,2633.0011,245,442,0.7692308,-0.72392255,2760,1.0,360,1461,692,
187_0,3160.5195000000003,200,460,0.8329049,-0.7714286,3565,1.0,325,1686,762,
186_0,3098.1648,308,540,0.76539755,-0.7075548,3153,1.0,419,1783,921,
355_0,3337.7766000000006,297,566,0.64271736,-0.6769406,2938,0.0,639,2309,1219,
356_0,3375.5209,337,606,0.6220339,-0.65142363,2871,0.0,669,2363,1297,
354_0,2943.9732,399,691,0.42927343,-0.49321598,2036,0.0,813,2009,1431,
352_0,3045.7986000000005,354,603,0.530343,-0.5874102,2320,0.0,712,2192,1358,
353_0,6833.471500000001,1474,2127,0.20893036,-0.2608167,3628,0.0,2374,4530,3641,
188_0,3150.7208000000005,234,497,0.8053567,-0.74519354,3404,1.0,367,1762,820,
189_0,3100.9463,235,421,0.8479445,-0.79720616,3731,1.0,307,1386,579,
190_0,3080.5012,237,417,0.8423968,-0.7953876,3659,1.0,313,1419,616,
191_0,2808.4659,217,386,0.82642776,-0.78837717,3262,1.0,310,1333,622,
194_0,2828.9763000000003,368,550,0.6574803,-0.6423927,2526,1.0,522,1746,1047,
195_0,2817.8876000000005,197,399,0.82775676,-0.77457625,3141,1.0,296,1494,774,
192_0,3029.6142,213,389,0.85103095,-0.80452263,3591,1.0,289,1475,618,
193_0,3226.3756,209,355,0.89061075,-0.84232736,4148,1.0,240,1302,501,
198_0,2859.2877000000003,159,356,0.8655418,-0.8171546,3538,1.0,255,1255,498,
197_0,2994.0730000000003,221,470,0.8119658,-0.7566028,3392,1.0,352,1459,677,
196_0,3038.7004,226,446,0.8345007,-0.775992,3536,1.0,319,1453,638,
343_0,3031.9109000000003,393,680,0.5451421,-0.5686648,2473,0.0,728,1845,1175,
344_0,3329.6569000000004,361,638,0.5989688,-0.62787986,2791,0.0,700,2256,1289,
346_0,3253.1584000000003,409,673,0.5044739,-0.5673417,2438,0.0,803,2298,1427,
345_0,3288.5808000000006,395,694,0.4963054,-0.5556978,2430,0.0,818,2310,1523,
350_0,2943.6217000000006,246,566,0.6952045,-0.6715985,2881,0.0,518,1636,898,
351_0,3098.9873,488,752,0.45638022,-0.49682167,2237,0.0,835,2060,1292,
349_0,3357.7697999999996,368,647,0.54063606,-0.6034324,2616,0.0,780,2413,1420,
348_0,3247.3089999999997,333,601,0.58966655,-0.6298121,2646,0.0,683,2327,1329,
347_0,3363.8035,364,638,0.57180464,-0.6162406,2687,0.0,732,2419,1396,
371_0,625.6563,125,247,0.40425533,-0.303244,462,0.0,196,261,184,
381_0,3123.2781,368,634,0.6212778,-0.63118094,2804,0.0,655,1842,1031,
377_0,3171.8589,382,678,0.49236047,-0.55845004,2393,0.0,814,2098,1446,
172_0,2836.7841,179,376,0.8510122,-0.8023653,3429,1.0,276,1260,561,
168_0,2846.7919,188,415,0.8425672,-0.7800742,3359,1.0,287,1325,586,
170_0,2847.4307,204,399,0.81628036,-0.7790698,3213,1.0,325,1452,704,
169_0,2881.5797999999995,179,405,0.8501348,-0.7888976,3432,1.0,278,1341,581,
171_0,2844.7780000000002,229,442,0.77379555,-0.7445825,3019,1.0,385,1554,794,
375_0,3112.3833,414,656,0.43841693,-0.5253256,2108,0.0,823,2283,1637,
387_0,1088.002,173,409,0.274276,-0.29299915,748,0.0,426,443,345,
396_0,3319.7972,352,644,0.5682997,-0.61723626,2721,0.0,749,2226,1341,
382_0,3007.2979,355,659,0.5097351,-0.56415343,2365,0.0,768,1904,1233,
383_0,3023.6005000000005,363,648,0.51391107,-0.57014924,2367,0.0,760,1951,1267,
376_0,3126.8761,525,825,0.34365925,-0.43240455,2082,0.0,1017,1901,1414,
277_0,2991.8898000000004,390,676,0.44802147,-0.5231041,2159,0.0,823,1974,1391,
276_0,3182.9183999999996,372,660,0.5588497,-0.5986622,2629,0.0,744,2011,1233,
275_0,2918.9158,392,651,0.42063215,-0.5170623,2045,0.0,834,1958,1397,
274_0,3156.3325,420,713,0.4052835,-0.5072564,2181,0.0,923,2100,1546,
278_0,3203.0652,336,613,0.5832836,-0.6245023,2652,0.0,698,2138,1318,
272_0,3117.0267000000003,356,652,0.5352156,-0.5828535,2474,0.0,749,2022,1335,
279_0,3197.0596,372,626,0.48438013,-0.56573015,2257,0.0,784,2393,1669,
280_0,2768.4027000000006,314,569,0.5281764,-0.5864826,2183,0.0,674,1805,1208,
281_0,3529.9562000000005,265,585,0.6958946,-0.7023658,3346,0.0,600,2267,1181,
290_0,3418.64,406,687,0.5644315,-0.59228486,2683,0.0,747,2392,1519,
291_0,2944.978,468,660,0.45489296,-0.48497853,1903,0.0,713,2291,1619,
293_0,3000.5494,491,688,0.39517057,-0.45135567,1820,0.0,789,2361,1719,
292_0,2891.3874000000005,487,665,0.38773853,-0.4397641,1709,0.0,754,2335,1686,
295_0,3083.7120000000004,459,677,0.49328494,-0.50475496,2057,0.0,698,2411,1688,
294_0,3118.6576,425,663,0.52460665,-0.5489796,2277,0.0,710,2237,1554,
226_0,2892.0612000000006,251,511,0.7554508,-0.70716333,2979,1.0,415,1596,826,
224_0,2852.5444,205,438,0.82958907,-0.7680699,3339,1.0,311,1296,586,
227_0,3101.2068,191,417,0.8577641,-0.7939723,3631,1.0,278,1583,678,
231_0,3382.6293,274,579,0.7385452,-0.7058674,3358,1.0,505,2026,1069,
228_0,3001.5812,259,488,0.73813707,-0.7175109,2967,1.0,447,1818,988,
225_0,2965.9051000000004,183,402,0.8401964,-0.7870763,3374,1.0,293,1584,728,
230_0,2885.0548000000003,190,386,0.8417382,-0.7978528,3433,1.0,295,1328,595,
229_0,2649.3025000000002,176,329,0.8598909,-0.81558293,3239,1.0,244,1181,492,
237_0,2088.124,240,404,0.68329895,-0.6695297,2041,1.0,384,1096,629,
